#Life 1.06
#Size 100 80
#N diameba
#R 35678/5678
19 21
19 22
19 24
19 25
19 26
19 27
19 28
19 36
19 38
19 40
19 41
19 43
19 44
19 46
19 47
19 50
19 52
19 54
19 58
19 61
19 64
19 68
19 70
19 71
19 78
19 79
20 20
20 21
20 22
20 23
20 24
20 25
20 26
20 27
20 28
20 30
20 32
20 33
20 34
20 37
20 40
20 41
20 42
20 43
20 44
20 45
20 47
20 48
20 50
20 53
20 54
20 55
20 61
20 62
20 63
20 65
20 67
20 70
20 71
20 72
20 77
20 78
20 79
21 20
21 24
21 26
21 27
21 28
21 30
21 31
21 32
21 44
21 46
21 47
21 48
21 49
21 50
21 52
21 53
21 55
21 57
21 59
21 61
21 65
21 66
21 68
21 69
21 70
21 71
21 73
21 75
21 76
21 78
22 20
22 21
22 22
22 23
22 26
22 28
22 32
22 35
22 37
22 40
22 43
22 44
22 46
22 47
22 48
22 51
22 58
22 60
22 61
22 62
22 63
22 64
22 65
22 66
22 69
22 72
22 73
22 74
22 75
22 76
22 78
23 19
23 22
23 23
23 25
23 26
23 27
23 29
23 30
23 31
23 32
23 36
23 37
23 38
23 40
23 41
23 46
23 47
23 50
23 51
23 52
23 56
23 61
23 63
23 65
23 66
23 69
23 70
23 72
23 75
23 77
23 78
24 20
24 23
24 25
24 26
24 31
24 36
24 41
24 42
24 44
24 45
24 47
24 48
24 50
24 52
24 58
24 59
24 60
24 63
24 65
24 66
24 67
24 69
24 70
24 71
24 75
24 77
24 78
25 19
25 22
25 23
25 24
25 27
25 29
25 30
25 31
25 32
25 35
25 37
25 40
25 41
25 42
25 43
25 44
25 45
25 48
25 51
25 54
25 56
25 57
25 59
25 60
25 63
25 68
25 70
25 74
25 79
26 19
26 20
26 21
26 22
26 23
26 25
26 27
26 28
26 29
26 33
26 34
26 37
26 38
26 39
26 41
26 44
26 45
26 46
26 47
26 49
26 50
26 53
26 54
26 55
26 57
26 58
26 60
26 61
26 62
26 64
26 66
26 69
26 70
26 72
26 73
26 77
27 20
27 22
27 23
27 24
27 26
27 31
27 32
27 33
27 34
27 35
27 36
27 42
27 43
27 44
27 45
27 47
27 49
27 51
27 53
27 54
27 58
27 59
27 62
27 64
27 66
27 70
27 71
27 72
27 74
27 76
27 78
28 19
28 20
28 21
28 24
28 25
28 26
28 28
28 34
28 35
28 37
28 39
28 47
28 48
28 51
28 52
28 53
28 54
28 55
28 58
28 65
28 67
28 69
28 70
28 77
28 78
28 79
29 21
29 22
29 26
29 28
29 29
29 31
29 33
29 34
29 36
29 41
29 42
29 45
29 46
29 47
29 49
29 51
29 54
29 55
29 56
29 58
29 59
29 63
29 64
29 66
29 69
29 72
29 74
29 75
29 76
29 79
30 20
30 25
30 26
30 29
30 35
30 37
30 43
30 44
30 46
30 48
30 49
30 51
30 53
30 54
30 55
30 58
30 62
30 64
30 67
30 68
30 69
30 73
30 74
30 75
30 76
31 20
31 21
31 23
31 24
31 26
31 30
31 31
31 32
31 34
31 38
31 40
31 42
31 43
31 44
31 47
31 48
31 49
31 51
31 57
31 61
31 64
31 71
31 72
31 73
31 74
31 76
31 77
31 78
31 79
32 19
32 22
32 23
32 24
32 26
32 29
32 31
32 34
32 35
32 39
32 40
32 42
32 43
32 49
32 50
32 52
32 53
32 56
32 57
32 58
32 59
32 60
32 61
32 64
32 66
32 67
32 71
32 72
32 74
32 75
32 76
32 77
32 78
32 79
33 19
33 23
33 28
33 29
33 30
33 31
33 32
33 35
33 36
33 37
33 38
33 40
33 42
33 44
33 45
33 46
33 50
33 51
33 52
33 53
33 54
33 55
33 58
33 60
33 63
33 66
33 67
33 69
33 70
33 71
33 75
33 77
34 22
34 23
34 26
34 28
34 29
34 31
34 33
34 34
34 42
34 43
34 45
34 50
34 52
34 53
34 54
34 55
34 57
34 58
34 59
34 60
34 66
34 67
34 69
34 71
34 72
34 75
34 77
35 19
35 20
35 21
35 22
35 25
35 31
35 33
35 35
35 36
35 39
35 40
35 41
35 44
35 46
35 49
35 50
35 51
35 52
35 53
35 56
35 57
35 58
35 60
35 62
35 65
35 67
35 70
35 73
35 74
35 75
35 76
36 19
36 20
36 21
36 22
36 24
36 25
36 26
36 28
36 29
36 30
36 32
36 33
36 35
36 37
36 39
36 40
36 41
36 43
36 46
36 48
36 49
36 51
36 52
36 53
36 54
36 56
36 57
36 58
36 59
36 63
36 64
36 66
36 67
36 68
36 69
36 70
36 72
36 73
36 74
36 75
36 78
37 19
37 21
37 23
37 25
37 26
37 29
37 31
37 32
37 33
37 35
37 38
37 40
37 41
37 42
37 43
37 44
37 45
37 47
37 54
37 55
37 56
37 58
37 60
