#Life 1.06
#Size 100 80
#N corals
#R 3/45678
0 0
0 3
0 8
0 12
0 14
0 15
0 17
0 20
0 22
0 23
0 24
0 25
0 26
0 32
0 35
0 40
0 41
0 42
0 43
0 44
0 46
0 47
0 48
0 52
0 56
0 57
0 62
0 63
0 66
0 67
0 72
0 74
0 75
0 77
0 78
1 1
1 5
1 8
1 13
1 17
1 19
1 20
1 25
1 28
1 30
1 33
1 34
1 37
1 39
1 41
1 42
1 48
1 49
1 50
1 51
1 52
1 55
1 57
1 62
1 63
1 68
1 70
1 73
1 74
1 76
1 77
1 78
2 0
2 5
2 7
2 8
2 9
2 10
2 13
2 15
2 20
2 22
2 26
2 31
2 33
2 35
2 36
2 38
2 43
2 44
2 49
2 55
2 58
2 59
2 60
2 63
2 65
2 68
2 71
2 76
2 77
2 79
3 2
3 5
3 9
3 10
3 12
3 16
3 19
3 21
3 24
3 26
3 27
3 28
3 32
3 35
3 36
3 37
3 38
3 40
3 42
3 45
3 46
3 48
3 54
3 55
3 58
3 63
3 68
3 69
3 71
3 73
3 75
4 4
4 11
4 15
4 17
4 19
4 20
4 23
4 24
4 26
4 28
4 30
4 33
4 34
4 37
4 39
4 41
4 42
4 46
4 48
4 51
4 55
4 57
4 63
4 64
4 72
4 74
4 75
5 0
5 1
5 2
5 4
5 6
5 7
5 8
5 10
5 14
5 16
5 17
5 18
5 19
5 20
5 21
5 23
5 25
5 26
5 27
5 28
5 31
5 33
5 34
5 36
5 37
5 39
5 40
5 41
5 45
5 46
5 55
5 56
5 59
5 60
5 65
5 66
5 68
5 70
5 72
5 76
6 0
6 10
6 11
6 12
6 13
6 14
6 17
6 21
6 22
6 24
6 26
6 27
6 28
6 30
6 31
6 32
6 35
6 36
6 37
6 38
6 40
6 41
6 47
6 50
6 51
6 56
6 58
6 59
6 60
6 62
6 65
6 66
6 70
6 71
6 72
7 1
7 3
7 5
7 7
7 11
7 12
7 17
7 20
7 21
7 25
7 28
7 29
7 31
7 32
7 38
7 39
7 41
7 42
7 46
7 47
7 51
7 52
7 55
7 56
7 61
7 64
7 66
7 67
7 68
7 69
7 72
7 73
7 74
7 78
7 79
8 1
8 2
8 3
8 5
8 7
8 9
8 10
8 13
8 14
8 17
8 20
8 22
8 24
8 25
8 30
8 33
8 34
8 38
8 42
8 45
8 47
8 48
8 50
8 53
8 54
8 55
8 57
8 58
8 60
8 67
8 71
8 72
8 73
8 75
8 76
8 77
8 79
9 1
9 3
9 4
9 7
9 8
9 12
9 13
9 18
9 20
9 23
9 27
9 33
9 37
9 38
9 39
9 40
9 41
9 42
9 44
9 45
9 46
9 47
9 48
9 50
9 55
9 58
9 61
9 63
9 65
9 67
9 68
9 73
9 75
9 76
9 77
10 1
10 6
10 10
10 18
10 21
10 27
10 29
10 30
10 33
10 36
10 41
10 43
10 47
10 51
10 54
10 57
10 58
10 59
10 61
10 64
10 65
10 66
10 68
10 69
10 71
10 73
10 74
10 76
10 78
11 3
11 6
11 7
11 10
11 12
11 14
11 16
11 18
11 19
11 22
11 23
11 25
11 26
11 27
11 28
11 34
11 35
11 37
11 39
11 41
11 44
11 47
11 48
11 51
11 53
11 59
11 60
11 66
11 68
11 70
11 73
11 76
11 78
11 79
12 2
12 4
12 7
12 10
12 12
12 13
12 14
12 15
12 19
12 20
12 23
12 24
12 26
12 32
12 35
12 37
12 44
12 52
12 54
12 56
12 57
12 58
12 62
12 63
12 65
12 67
12 68
12 69
12 73
12 76
12 77
12 79
13 4
13 5
13 7
13 12
13 13
13 14
13 18
13 21
13 25
13 32
13 33
13 35
13 37
13 42
13 45
13 46
13 47
13 50
13 52
13 53
13 56
13 63
13 65
13 70
13 71
13 72
13 74
13 77
13 78
14 7
14 10
14 15
14 19
14 20
14 24
14 25
14 26
14 27
14 29
14 34
14 38
14 45
14 47
14 50
14 52
14 53
14 54
14 59
14 61
14 64
14 65
14 66
14 73
14 78
15 1
15 3
15 5
15 6
15 9
15 12
15 13
15 16
15 17
15 18
15 19
15 24
15 26
15 28
15 29
15 30
15 37
15 38
15 40
15 41
15 42
15 45
15 46
15 51
15 61
15 63
15 65
15 69
15 70
15 71
15 72
15 74
15 76
15 77
16 0
16 1
16 2
16 4
16 10
16 15
16 17
16 21
16 23
16 24
16 32
16 33
16 34
16 35
16 37
16 38
16 40
16 43
16 46
16 47
16 49
16 50
16 51
16 52
16 53
16 56
16 57
16 59
16 60
16 61
16 63
16 68
16 69
16 70
16 74
16 76
16 78
16 79
17 0
17 2
17 3
17 4
17 7
17 9
17 13
17 15
17 19
17 20
17 30
17 31
17 32
17 35
17 36
17 37
17 40
17 43
17 44
17 46
17 51
17 53
17 58
17 61
17 63
17 64
17 66
17 67
17 69
17 70
17 71
17 73
17 76
17 78
18 0
18 4
18 6
18 7
18 8
18 9
18 10
18 12
18 16
18 18
18 19
18 20
18 24
18 26
18 27
18 28
18 32
18 33
18 41
18 42
18 47
18 48
18 52
18 53
18 55
18 57
18 58
18 59
18 61
18 62
18 63
18 65
18 66
18 68
18 73
18 75
18 78
19 1
19 2
19 3
19 5
19 8
19 17
19 20
19 24
19 28
19 30
19 31
19 36
19 37
19 38
19 40
19 49
19 51
19 53
19 54
19 58
19 59
19 61
19 64
19 66
19 68
19 72
19 73
19 77
19 78
20 1
20 4
20 6
20 9
20 11
20 14
20 15
20 16
20 17
20 18
20 22
20 24
20 31
20 37
20 38
20 41
20 42
20 43
20 44
20 48
20 49
20 51
20 52
20 63
20 64
20 66
20 68
20 69
20 71
20 74
20 75
20 76
20 79
21 1
21 2
21 4
21 6
21 7
21 8
21 11
21 12
21 14
21 16
21 17
21 19
21 21
21 22
21 24
21 25
21 27
21 29
21 31
21 36
21 40
21 57
21 62
21 63
21 64
21 65
21 69
21 70
21 76
21 79
22 0
22 1
22 3
22 6
22 11
22 12
22 13
22 14
22 21
22 22
22 25
22 26
22 28
22 29
22 32
22 37
22 39
22 40
22 43
22 44
22 45
22 46
22 48
22 49
22 51
22 55
22 56
22 57
22 59
22 61
22 66
22 68
22 72
22 76
22 77
22 79
23 1
23 3
23 4
23 7
23 9
23 10
23 13
23 14
23 17
23 19
23 21
23 22
23 26
23 28
23 34
23 37
23 38
23 39
23 40
23 41
23 42
23 48
23 49
23 54
23 55
23 59
23 60
23 61
23 62
23 63
23 64
23 67
23 68
23 69
23 70
23 74
23 76
23 79
24 6
24 7
24 9
24 11
24 12
24 14
24 15
24 16
24 22
24 26
24 30
24 31
24 32
24 34
24 40
24 48
24 49
24 52
24 53
24 54
24 56
24 59
24 60
24 61
24 62
24 63
24 64
24 66
24 68
24 70
24 71
24 72
24 73
24 76
24 79
25 2
25 7
25 11
25 15
25 16
25 17
25 18
25 20
25 26
25 29
25 33
25 38
25 39
25 40
25 43
25 48
25 50
25 51
25 55
25 65
25 68
25 69
25 70
25 71
25 73
25 79
26 1
26 2
26 4
26 6
26 7
26 10
26 12
26 13
26 14
26 15
26 16
26 24
26 27
26 28
26 30
26 33
26 36
26 37
26 38
26 40
26 42
26 44
26 45
26 48
26 50
26 51
26 53
26 54
26 57
26 59
26 60
26 64
26 65
26 68
26 71
26 77
26 78
27 0
27 3
27 5
27 7
27 8
27 14
27 15
27 19
27 22
27 23
27 26
27 28
27 29
27 30
27 31
27 33
27 35
27 40
27 41
27 42
27 43
27 44
27 45
27 46
27 47
27 48
27 49
27 51
27 54
27 57
27 58
27 59
27 60
27 62
27 66
27 67
27 72
27 74
27 78
27 79
28 1
28 2
28 4
28 6
28 7
28 8
28 12
28 15
28 21
28 22
28 23
28 24
28 25
28 27
28 31
28 32
28 34
28 35
28 36
28 38
28 40
28 41
28 42
28 43
28 44
28 45
28 46
28 51
28 58
28 59
28 60
28 61
28 62
28 63
28 64
28 65
28 66
28 71
28 77
28 79
29 0
29 1
29 3
29 5
29 6
29 7
29 12
29 13
29 14
29 16
29 19
29 20
29 21
29 23
29 24
29 26
29 27
29 28
29 29
29 30
29 31
29 34
29 35
29 36
29 38
29 39
29 41
29 42
29 46
29 48
29 49
29 52
29 53
29 55
29 57
29 59
29 65
29 66
29 67
29 70
29 73
29 75
29 78
30 1
30 3
30 6
30 11
30 12
30 13
30 15
30 19
30 22
30 24
30 25
30 26
30 27
30 29
30 30
30 31
30 41
30 48
30 49
30 50
30 52
30 57
30 60
30 62
30 64
30 68
30 69
30 71
30 73
31 5
31 11
31 13
31 14
31 15
31 18
31 20
31 23
31 25
31 26
31 29
31 31
31 33
31 36
31 37
31 43
31 46
31 49
31 51
31 53
31 55
31 59
31 61
31 63
31 65
31 66
31 69
31 72
31 73
31 77
31 79
32 3
32 4
32 13
32 15
32 16
32 17
32 18
32 21
32 23
32 27
32 29
32 35
32 37
32 41
32 42
32 43
32 44
32 45
32 52
32 56
32 58
32 63
32 64
32 66
32 68
32 70
32 76
32 77
32 78
32 79
33 7
33 10
33 11
33 16
33 18
33 20
33 22
33 29
33 31
33 32
33 35
33 36
33 40
33 48
33 51
33 53
33 56
33 61
33 67
33 71
33 73
33 74
33 75
34 0
34 2
34 3
34 7
34 8
34 9
34 10
34 11
34 12
34 15
34 16
34 17
34 21
34 22
34 23
34 25
34 27
34 32
34 33
34 36
34 37
34 38
34 39
34 41
34 42
34 43
34 44
34 46
34 47
34 49
34 52
34 53
34 55
34 58
34 59
34 60
34 61
34 62
34 64
34 68
34 69
34 70
34 74
34 75
34 76
35 0
35 6
35 7
35 10
35 11
35 12
35 13
35 15
35 20
35 25
35 28
35 29
35 31
35 37
35 38
35 42
35 43
35 45
35 46
35 48
35 49
35 51
35 57
35 58
35 59
35 63
35 66
35 67
35 68
35 69
35 72
35 75
35 77
36 0
36 1
36 7
36 8
36 13
36 15
36 16
36 17
36 18
36 19
36 20
36 21
36 22
36 23
36 26
36 27
36 33
36 37
36 39
36 40
36 41
36 44
36 47
36 48
36 50
36 52
36 55
36 60
36 63
36 64
36 67
36 68
36 69
36 70
36 71
36 73
36 74
37 0
37 3
37 12
37 14
37 16
37 17
37 21
37 22
37 25
37 28
37 31
37 32
37 35
37 37
37 39
37 40
37 42
37 43
37 51
37 52
37 55
37 60
37 63
37 64
37 65
37 67
37 68
37 72
37 74
37 77
37 78
38 0
38 1
38 3
38 9
38 10
38 12
38 13
38 14
38 15
38 21
38 22
38 23
38 24
38 26
38 28
38 29
38 35
38 39
38 40
38 41
38 45
38 46
38 47
38 48
38 53
38 54
38 57
38 58
38 61
38 62
38 64
38 65
38 66
38 67
38 70
38 71
38 73
38 74
38 75
38 77
38 78
39 0
39 7
39 8
39 9
39 10
39 16
39 17
39 18
39 19
39 20
39 22
39 24
39 27
39 31
39 32
39 33
39 34
39 35
39 39
39 44
39 51
39 53
39 54
39 55
39 57
39 58
39 64
39 65
39 67
39 68
39 69
39 74
39 77
40 2
40 3
40 5
40 8
40 11
40 12
40 14
40 15
40 16
40 17
40 20
40 21
40 24
40 26
40 28
40 29
40 30
40 31
40 34
40 35
40 36
40 37
40 42
40 43
40 49
40 53
40 60
40 62
40 67
40 68
40 69
40 70
40 72
40 79
41 3
41 4
41 5
41 13
41 14
41 15
41 16
41 20
41 21
41 22
41 24
41 27
41 28
41 29
41 30
41 33
41 37
41 39
41 42
41 44
41 47
41 48
41 50
41 51
41 52
41 55
41 56
41 57
41 59
41 64
41 65
41 68
41 69
41 74
41 77
42 4
42 6
42 10
42 12
42 13
42 18
42 20
42 24
42 26
42 27
42 39
42 40
42 41
42 44
42 45
42 47
42 49
42 52
42 62
42 63
42 64
42 66
42 71
42 73
42 74
42 75
42 77
42 79
43 0
43 5
43 9
43 11
43 12
43 13
43 18
43 19
43 21
43 23
43 27
43 29
43 30
43 36
43 37
43 39
43 42
43 44
43 45
43 46
43 47
43 49
43 50
43 64
43 69
43 72
43 74
43 75
43 78
43 79
44 0
44 2
44 5
44 7
44 9
44 10
44 12
44 13
44 15
44 16
44 20
44 28
44 31
44 39
44 42
44 46
44 49
44 56
44 60
44 63
44 70
44 72
44 75
44 76
44 77
45 3
45 4
45 13
45 14
45 15
45 16
45 17
45 18
45 21
45 22
45 24
45 27
45 30
45 31
45 35
45 37
45 39
45 40
45 42
45 43
45 44
45 46
45 52
45 53
45 60
45 63
45 65
45 67
45 68
45 69
45 71
45 72
45 73
45 75
45 76
46 0
46 6
46 11
46 17
46 20
46 24
46 25
46 35
46 39
46 42
46 44
46 47
46 48
46 49
46 53
46 59
46 61
46 65
46 66
46 74
46 77
46 79
47 5
47 6
47 8
47 9
47 10
47 12
47 14
47 15
47 27
47 28
47 29
47 33
47 38
47 39
47 45
47 49
47 51
47 52
47 56
47 58
47 60
47 61
47 62
47 63
47 65
47 69
47 70
47 79
48 1
48 2
48 5
48 6
48 15
48 18
48 21
48 23
48 25
48 26
48 27
48 28
48 33
48 35
48 36
48 37
48 40
48 43
48 45
48 50
48 51
48 54
48 56
48 58
48 63
48 65
48 70
48 71
48 76
48 77
49 2
49 7
49 9
49 16
49 17
49 19
49 20
49 22
49 25
49 30
49 34
49 38
49 39
49 40
49 42
49 45
49 49
49 52
49 53
49 54
49 57
49 59
49 60
49 61
49 63
49 64
49 67
49 68
49 72
49 73
49 77
49 79
50 4
50 5
50 6
50 7
50 8
50 9
50 12
50 14
50 17
50 19
50 22
50 23
50 24
50 27
50 30
50 32
50 33
50 34
50 36
50 37
50 39
50 40
50 45
50 49
50 50
50 52
50 58
50 59
50 62
50 65
50 67
50 71
50 73
50 76
50 78
50 79
51 9
51 10
51 14
51 15
51 17
51 22
51 23
51 26
51 28
51 30
51 36
51 52
51 58
51 64
51 65
51 66
51 71
51 73
51 74
51 78
52 0
52 2
52 5
52 6
52 8
52 12
52 14
52 16
52 18
52 19
52 20
52 22
52 23
52 24
52 25
52 26
52 27
52 28
52 30
52 35
52 40
52 42
52 45
52 47
52 49
52 53
52 56
52 57
52 60
52 62
52 63
52 64
52 65
52 67
52 68
52 71
52 72
52 73
52 75
53 0
53 1
53 4
53 6
53 7
53 8
53 9
53 16
53 24
53 25
53 26
53 29
53 30
53 31
53 34
53 36
53 40
53 43
53 48
53 49
53 50
53 51
53 56
53 62
53 65
53 66
53 68
53 71
53 73
53 74
53 77
53 79
54 0
54 1
54 2
54 4
54 9
54 12
54 13
54 17
54 29
54 30
54 33
54 34
54 38
54 42
54 45
54 47
54 52
54 53
54 54
54 55
54 57
54 64
54 65
54 66
54 68
54 69
54 73
54 77
55 3
55 4
55 5
55 7
55 8
55 9
55 11
55 14
55 15
55 19
55 21
55 25
55 26
55 27
55 31
55 34
55 37
55 43
55 44
55 45
55 47
55 56
55 59
55 63
55 67
55 71
55 73
55 74
55 79
56 2
56 3
56 4
56 5
56 6
56 7
56 8
56 9
56 12
56 16
56 17
56 20
56 21
56 22
56 23
56 25
56 30
56 35
56 38
56 40
56 41
56 43
56 47
56 49
56 57
56 64
56 65
56 73
56 75
56 77
56 78
57 0
57 9
57 19
57 26
57 28
57 32
57 36
57 38
57 42
57 43
57 47
57 53
57 56
57 57
57 58
57 59
57 61
57 62
57 63
57 67
57 68
57 72
57 73
57 76
57 78
58 1
58 5
58 6
58 7
58 9
58 12
58 13
58 14
58 22
58 24
58 26
58 27
58 30
58 34
58 37
58 40
58 42
58 43
58 46
58 51
58 55
58 58
58 61
58 64
58 70
58 71
58 73
58 74
58 76
58 77
59 1
59 6
59 8
59 10
59 11
59 12
59 13
59 14
59 16
59 19
59 25
59 26
59 28
59 34
59 37
59 41
59 43
59 44
59 47
59 50
59 56
59 66
59 72
59 73
59 74
59 75
59 78
60 0
60 2
60 6
60 8
60 9
60 11
60 18
60 22
60 24
60 26
60 27
60 28
60 30
60 31
60 33
60 34
60 41
60 43
60 50
60 52
60 53
60 55
60 57
60 58
60 60
60 66
60 73
60 74
60 77
60 78
61 1
61 3
61 4
61 5
61 8
61 11
61 12
61 14
61 16
