#Life 1.06
#Size 100 80
#N most
#R 45678/5678
0 0
0 2
0 3
0 5
0 8
0 9
0 12
0 14
0 15
0 17
0 20
0 21
0 22
0 23
0 24
0 25
0 26
0 32
0 35
0 39
0 40
0 41
0 42
0 43
0 44
0 45
0 46
0 47
0 48
0 51
0 52
0 56
0 57
0 62
0 63
0 66
0 67
0 68
0 72
0 74
0 75
0 77
0 78
1 1
1 2
1 3
1 5
1 8
1 10
1 13
1 17
1 19
1 20
1 24
1 25
1 28
1 30
1 32
1 33
1 34
1 37
1 39
1 41
1 42
1 47
1 48
1 49
1 50
1 51
1 52
1 53
1 55
1 57
1 62
1 63
1 68
1 70
1 73
1 74
1 76
1 77
1 78
2 0
2 2
2 5
2 7
2 8
2 9
2 10
2 12
2 13
2 15
2 19
2 20
2 21
2 22
2 26
2 31
2 33
2 35
2 36
2 38
2 39
2 43
2 44
2 49
2 50
2 52
2 55
2 58
2 59
2 60
2 62
2 63
2 65
2 68
2 71
2 76
2 77
2 79
3 2
3 5
3 9
3 10
3 11
3 12
3 16
3 19
3 21
3 22
3 24
3 26
3 27
3 28
3 32
3 35
3 36
3 37
3 38
3 40
3 42
3 45
3 46
3 48
3 54
3 55
3 57
3 58
3 63
3 66
3 68
3 69
3 71
3 73
3 75
4 4
4 11
4 13
4 14
4 15
4 17
4 19
4 20
4 23
4 24
4 26
4 28
4 30
4 33
4 34
4 35
4 37
4 39
4 41
4 42
4 44
4 46
4 48
4 49
4 50
4 51
4 55
4 56
4 57
4 63
4 64
4 67
4 68
4 69
4 70
4 71
4 72
4 74
4 75
5 0
5 1
5 2
5 4
5 6
5 7
5 8
5 10
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 23
5 25
5 26
5 27
5 28
5 30
5 31
5 33
5 34
5 35
5 36
5 37
5 39
5 40
5 41
5 45
5 46
5 47
5 49
5 53
5 55
5 56
5 59
5 60
5 61
5 63
5 65
5 66
5 68
5 70
5 72
5 76
5 78
6 0
6 5
6 10
6 11
6 12
6 13
6 14
6 17
6 20
6 21
6 22
6 24
6 26
6 27
6 28
6 30
6 31
6 32
6 33
6 35
6 36
6 37
6 38
6 40
6 41
6 47
6 50
6 51
6 53
6 56
6 58
6 59
6 60
6 62
6 63
6 65
6 66
6 67
6 70
6 71
6 72
7 1
7 3
7 5
7 7
7 11
7 12
7 17
7 20
7 21
7 22
7 23
7 24
7 25
7 28
7 29
7 31
7 32
7 38
7 39
7 40
7 41
7 42
7 46
7 47
7 49
7 51
7 52
7 55
7 56
7 57
7 59
7 61
7 64
7 66
7 67
7 68
7 69
7 72
7 73
7 74
7 76
7 78
7 79
8 1
8 2
8 3
8 5
8 7
8 9
8 10
8 13
8 14
8 17
8 20
8 22
8 23
8 24
8 25
8 26
8 30
8 32
8 33
8 34
8 38
8 42
8 45
8 47
8 48
8 49
8 50
8 53
8 54
8 55
8 56
8 57
8 58
8 60
8 63
8 67
8 70
8 71
8 72
8 73
8 75
8 76
8 77
8 79
9 0
9 1
9 3
9 4
9 5
9 7
9 8
9 12
9 13
9 16
9 18
9 19
9 20
9 23
9 27
9 31
9 33
9 37
9 38
9 39
9 40
9 41
9 42
9 44
9 45
9 46
9 47
9 48
9 50
9 55
9 58
9 61
9 63
9 65
9 67
9 68
9 70
9 73
9 75
9 76
9 77
10 1
10 6
10 8
10 10
10 14
10 18
10 21
10 24
10 26
10 27
10 29
10 30
10 33
10 36
10 38
10 41
10 43
10 47
10 48
10 49
10 51
10 54
10 57
10 58
10 59
10 61
10 64
10 65
10 66
10 67
10 68
10 69
10 71
10 73
10 74
10 75
10 76
10 77
10 78
11 1
11 3
11 6
11 7
11 10
11 12
11 13
11 14
11 16
11 18
11 19
11 22
11 23
11 24
11 25
11 26
11 27
11 28
11 34
11 35
11 37
11 38
11 39
11 41
11 44
11 47
